record_id,layer_A_valid,condition_unit_valid,required_field_coverage,available_reported_fields,missing_reported_fields,derived_field_requested,derived_field_approved,imputation_used,projection_status,projection_blockers,scoring_admitted
P2V25-0001,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V25-0002,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V25-0003,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V25-0004,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V25-0005,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V25-0006,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V25-0007,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V25-0008,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V25-0009,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V25-0010,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0011,true,true,0.125,temperature_c,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0012,true,true,0.125,temperature_c,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0013,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0014,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0015,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0016,true,true,0.125,temperature_c,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0017,true,true,0.250,temperature_c|drying_route,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
P2V26-0018,true,true,0.125,temperature_c,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false,false,none,retain_in_layer_A_do_not_score,modulator_concentration_m|precursor_concentration_m|drying_route|pore_radius_nm|surface_tension_mN_m|contact_angle_deg|framework_stability_z,false
