record_id,prior_human_verification_status,final_human_verification_status,human_verifier,verification_date,source_opened,locator_confirmed,material_confirmed,condition_confirmed,outcome_confirmed,status_confirmed,author_decision,field_changes_required,changed_fields,adjudication_note,attestation_basis
P2V25-0001,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V25-0002,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V25-0003,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V25-0004,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V25-0005,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V25-0006,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V25-0007,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V25-0008,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V25-0009,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V25-0010,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0011,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0012,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0013,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0014,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0015,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0016,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0017,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0018,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0019,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0020,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0021,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0022,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0023,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0024,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0025,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0026,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0027,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0028,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0029,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0030,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0031,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0032,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0033,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V26-0034,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0035,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0036,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0037,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0038,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0039,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0040,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0041,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0042,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0043,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0044,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0045,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0046,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0047,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0048,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
P2V27-0049,pending_user_or_coauthor_confirmation,human_verified,Jinnan Wei,2026-07-29,yes,yes,yes,yes,yes,yes,human_verified_no_change,False,none,The author explicitly confirmed all 49 records; no row-specific corrections were supplied for propagation.,Written author attestation recorded on 2026-07-29.
