record_id,source_id,material_name,synthesis_or_gelation_route,drying_temperature_c,reported_sample_form,outcome_status,source_location,source_url
P2V25-0001,SRC01,UiO-66_A,UiO-66 gel followed by ethanol wash and high-temperature drying,200,sub-mm gel-derived fragments; not a large conformed monolith,explicit_non_monolithic_or_failed_outcome,"Publisher full text: Results - Synthesis of monolithic MOFs, Fig. 2d, lines/paragraph for UiO-66_A; Methods - Synthesis of UiO-66_A-D; Supplementary Table 1.",https://www.nature.com/articles/s41467-019-10185-1
P2V25-0003,SRC01,UiO-66_C,UiO-66 gel followed by DMF wash and mild drying,30,optically transparent monolith,confirmed_monolith,"Publisher full text: Results - Synthesis of monolithic MOFs, Fig. 2f; Methods - Synthesis of UiO-66_A-D; Supplementary Table 1.",https://www.nature.com/articles/s41467-019-10185-1
P2V26-0028,SRC05,"monoHKUST-1, 51 nm, 40 C",HKUST-1 sol-gel formation followed by controlled mild drying,40,dense monolith,confirmed_monolith,"Accepted manuscript: Sol-gel synthesis of MOFs, pp. 4-7; Fig. 1; particle-size/drying-temperature study, pp. 7-8; Supplementary Table 2 referenced.",https://www.repository.cam.ac.uk/items/e84c3326-9974-45fc-8c3a-d608b6da9c64
P2V26-0033,SRC05,"HKUST-1, 145 nm, 20-80 C",HKUST-1 sol-gel-derived wet solid with large primary particles across drying-temperature screen,20 to 80,non-conformed/powder product across tested drying range,explicit_non_monolithic_or_failed_outcome,"Accepted manuscript: Sol-gel synthesis of MOFs, pp. 4-7; Fig. 1; particle-size/drying-temperature study, pp. 7-8; Supplementary Table 2 referenced.",https://www.repository.cam.ac.uk/items/e84c3326-9974-45fc-8c3a-d608b6da9c64
P2V27-0035,SRC06,ZIF-8HT,ethanol ZIF-8 synthesis followed by high-temperature vacuum drying,100,white pellet that readily disaggregated into powder,powder_only_under_reported_conditions,"Author-version PDF p.2 Experimental, lines 106-118; Results p.2, lines 181-186; Conclusion p.6, lines 450-456; Fig. 1a.",https://pubs.rsc.org/en/content/articlelanding/2015/ta/c4ta05116e
P2V27-0036,SRC06,ZIF-8LT,ethanol ZIF-8 synthesis followed by slow room-temperature drying,ambient,transparent monolithic structure,confirmed_monolith,"Author-version PDF p.2 Experimental, lines 106-118; Results p.2, lines 181-186; Conclusion p.6, lines 450-456; Fig. 1b.",https://pubs.rsc.org/en/content/articlelanding/2015/ta/c4ta05116e
P2V27-0040,SRC07,ZIF-8 powder control,unmodulated methanol powder synthesis,ambient,powder adsorbent,powder_only_under_reported_conditions,"Published PDF p.8 Experimental Section, lines 534-543; powder synthesis control.",https://discovery.ucl.ac.uk/id/eprint/10117467
P2V27-0042,SRC07,ZIF-8 (NB) monolith,single-modulator ligand-assisted methanol sol-gel route,ambient,millimetre-scale monolithic adsorbent,confirmed_monolith,"Published PDF p.8 Experimental Section, lines 544-559; Results pp.1-3, crystallinity/density/porosity discussion and Fig. 1-3.",https://discovery.ucl.ac.uk/id/eprint/10117467
P2V27-0047,SRC09,monoZIF-8 (ethanol route),modified ethanolic ZIF-8 sol-gel route with slow ambient drying,ambient,monolithic ZIF-8,confirmed_monolith,"Full article Experimental Section - Syntheses of ZIF-8, entry 1; Table 4 entry 1; article abstract and results on monoZIF-8.",https://doi.org/10.1002/smll.202500510
P2V27-0048,SRC09,pZIF-8-a (water replacement route),water-substituted analogue of the monoZIF-8 route,ambient,powder ZIF-8 product,powder_only_under_reported_conditions,"Full article Experimental Section - Syntheses of ZIF-8, entry 2; Table 4 entry 2.",https://doi.org/10.1002/smll.202500510
