record_id,blocker,blocker_class
P2V25-0001,modulator_concentration_m,missing_or_policy_blocker
P2V25-0001,precursor_concentration_m,missing_or_policy_blocker
P2V25-0001,pore_radius_nm,missing_or_policy_blocker
P2V25-0001,surface_tension_mN_m,missing_or_policy_blocker
P2V25-0001,contact_angle_deg,missing_or_policy_blocker
P2V25-0001,framework_stability_z,missing_or_policy_blocker
P2V25-0002,modulator_concentration_m,missing_or_policy_blocker
P2V25-0002,precursor_concentration_m,missing_or_policy_blocker
P2V25-0002,pore_radius_nm,missing_or_policy_blocker
P2V25-0002,surface_tension_mN_m,missing_or_policy_blocker
P2V25-0002,contact_angle_deg,missing_or_policy_blocker
P2V25-0002,framework_stability_z,missing_or_policy_blocker
P2V25-0003,modulator_concentration_m,missing_or_policy_blocker
P2V25-0003,precursor_concentration_m,missing_or_policy_blocker
P2V25-0003,pore_radius_nm,missing_or_policy_blocker
P2V25-0003,surface_tension_mN_m,missing_or_policy_blocker
P2V25-0003,contact_angle_deg,missing_or_policy_blocker
P2V25-0003,framework_stability_z,missing_or_policy_blocker
P2V25-0004,modulator_concentration_m,missing_or_policy_blocker
P2V25-0004,precursor_concentration_m,missing_or_policy_blocker
P2V25-0004,pore_radius_nm,missing_or_policy_blocker
P2V25-0004,surface_tension_mN_m,missing_or_policy_blocker
P2V25-0004,contact_angle_deg,missing_or_policy_blocker
P2V25-0004,framework_stability_z,missing_or_policy_blocker
P2V25-0005,modulator_concentration_m,missing_or_policy_blocker
P2V25-0005,precursor_concentration_m,missing_or_policy_blocker
P2V25-0005,pore_radius_nm,missing_or_policy_blocker
P2V25-0005,surface_tension_mN_m,missing_or_policy_blocker
P2V25-0005,contact_angle_deg,missing_or_policy_blocker
P2V25-0005,framework_stability_z,missing_or_policy_blocker
P2V25-0006,modulator_concentration_m,missing_or_policy_blocker
P2V25-0006,precursor_concentration_m,missing_or_policy_blocker
P2V25-0006,pore_radius_nm,missing_or_policy_blocker
P2V25-0006,surface_tension_mN_m,missing_or_policy_blocker
P2V25-0006,contact_angle_deg,missing_or_policy_blocker
P2V25-0006,framework_stability_z,missing_or_policy_blocker
P2V25-0007,modulator_concentration_m,missing_or_policy_blocker
P2V25-0007,precursor_concentration_m,missing_or_policy_blocker
P2V25-0007,pore_radius_nm,missing_or_policy_blocker
P2V25-0007,surface_tension_mN_m,missing_or_policy_blocker
P2V25-0007,contact_angle_deg,missing_or_policy_blocker
P2V25-0007,framework_stability_z,missing_or_policy_blocker
P2V25-0008,modulator_concentration_m,missing_or_policy_blocker
P2V25-0008,precursor_concentration_m,missing_or_policy_blocker
P2V25-0008,pore_radius_nm,missing_or_policy_blocker
P2V25-0008,surface_tension_mN_m,missing_or_policy_blocker
P2V25-0008,contact_angle_deg,missing_or_policy_blocker
P2V25-0008,framework_stability_z,missing_or_policy_blocker
P2V25-0009,modulator_concentration_m,missing_or_policy_blocker
P2V25-0009,precursor_concentration_m,missing_or_policy_blocker
P2V25-0009,pore_radius_nm,missing_or_policy_blocker
P2V25-0009,surface_tension_mN_m,missing_or_policy_blocker
P2V25-0009,contact_angle_deg,missing_or_policy_blocker
P2V25-0009,framework_stability_z,missing_or_policy_blocker
P2V25-0010,modulator_concentration_m,missing_or_policy_blocker
P2V25-0010,precursor_concentration_m,missing_or_policy_blocker
P2V25-0010,pore_radius_nm,missing_or_policy_blocker
P2V25-0010,surface_tension_mN_m,missing_or_policy_blocker
P2V25-0010,contact_angle_deg,missing_or_policy_blocker
P2V25-0010,framework_stability_z,missing_or_policy_blocker
P2V26-0011,modulator_concentration_m,missing_or_policy_blocker
P2V26-0011,precursor_concentration_m,missing_or_policy_blocker
P2V26-0011,drying_route,missing_or_policy_blocker
P2V26-0011,pore_radius_nm,missing_or_policy_blocker
P2V26-0011,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0011,contact_angle_deg,missing_or_policy_blocker
P2V26-0011,framework_stability_z,missing_or_policy_blocker
P2V26-0012,modulator_concentration_m,missing_or_policy_blocker
P2V26-0012,precursor_concentration_m,missing_or_policy_blocker
P2V26-0012,drying_route,missing_or_policy_blocker
P2V26-0012,pore_radius_nm,missing_or_policy_blocker
P2V26-0012,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0012,contact_angle_deg,missing_or_policy_blocker
P2V26-0012,framework_stability_z,missing_or_policy_blocker
P2V26-0013,modulator_concentration_m,missing_or_policy_blocker
P2V26-0013,precursor_concentration_m,missing_or_policy_blocker
P2V26-0013,pore_radius_nm,missing_or_policy_blocker
P2V26-0013,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0013,contact_angle_deg,missing_or_policy_blocker
P2V26-0013,framework_stability_z,missing_or_policy_blocker
P2V26-0014,modulator_concentration_m,missing_or_policy_blocker
P2V26-0014,precursor_concentration_m,missing_or_policy_blocker
P2V26-0014,pore_radius_nm,missing_or_policy_blocker
P2V26-0014,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0014,contact_angle_deg,missing_or_policy_blocker
P2V26-0014,framework_stability_z,missing_or_policy_blocker
P2V26-0015,modulator_concentration_m,missing_or_policy_blocker
P2V26-0015,precursor_concentration_m,missing_or_policy_blocker
P2V26-0015,pore_radius_nm,missing_or_policy_blocker
P2V26-0015,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0015,contact_angle_deg,missing_or_policy_blocker
P2V26-0015,framework_stability_z,missing_or_policy_blocker
P2V26-0016,modulator_concentration_m,missing_or_policy_blocker
P2V26-0016,precursor_concentration_m,missing_or_policy_blocker
P2V26-0016,drying_route,missing_or_policy_blocker
P2V26-0016,pore_radius_nm,missing_or_policy_blocker
P2V26-0016,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0016,contact_angle_deg,missing_or_policy_blocker
P2V26-0016,framework_stability_z,missing_or_policy_blocker
P2V26-0017,modulator_concentration_m,missing_or_policy_blocker
P2V26-0017,precursor_concentration_m,missing_or_policy_blocker
P2V26-0017,pore_radius_nm,missing_or_policy_blocker
P2V26-0017,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0017,contact_angle_deg,missing_or_policy_blocker
P2V26-0017,framework_stability_z,missing_or_policy_blocker
P2V26-0018,modulator_concentration_m,missing_or_policy_blocker
P2V26-0018,precursor_concentration_m,missing_or_policy_blocker
P2V26-0018,drying_route,missing_or_policy_blocker
P2V26-0018,pore_radius_nm,missing_or_policy_blocker
P2V26-0018,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0018,contact_angle_deg,missing_or_policy_blocker
P2V26-0018,framework_stability_z,missing_or_policy_blocker
P2V26-0019,modulator_concentration_m,missing_or_policy_blocker
P2V26-0019,precursor_concentration_m,missing_or_policy_blocker
P2V26-0019,pore_radius_nm,missing_or_policy_blocker
P2V26-0019,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0019,contact_angle_deg,missing_or_policy_blocker
P2V26-0019,framework_stability_z,missing_or_policy_blocker
P2V26-0020,modulator_concentration_m,missing_or_policy_blocker
P2V26-0020,precursor_concentration_m,missing_or_policy_blocker
P2V26-0020,drying_route,missing_or_policy_blocker
P2V26-0020,pore_radius_nm,missing_or_policy_blocker
P2V26-0020,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0020,contact_angle_deg,missing_or_policy_blocker
P2V26-0020,framework_stability_z,missing_or_policy_blocker
P2V26-0021,modulator_concentration_m,missing_or_policy_blocker
P2V26-0021,precursor_concentration_m,missing_or_policy_blocker
P2V26-0021,pore_radius_nm,missing_or_policy_blocker
P2V26-0021,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0021,contact_angle_deg,missing_or_policy_blocker
P2V26-0021,framework_stability_z,missing_or_policy_blocker
P2V26-0022,modulator_concentration_m,missing_or_policy_blocker
P2V26-0022,precursor_concentration_m,missing_or_policy_blocker
P2V26-0022,drying_route,missing_or_policy_blocker
P2V26-0022,pore_radius_nm,missing_or_policy_blocker
P2V26-0022,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0022,contact_angle_deg,missing_or_policy_blocker
P2V26-0022,framework_stability_z,missing_or_policy_blocker
P2V26-0023,modulator_concentration_m,missing_or_policy_blocker
P2V26-0023,precursor_concentration_m,missing_or_policy_blocker
P2V26-0023,drying_route,missing_or_policy_blocker
P2V26-0023,pore_radius_nm,missing_or_policy_blocker
P2V26-0023,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0023,contact_angle_deg,missing_or_policy_blocker
P2V26-0023,framework_stability_z,missing_or_policy_blocker
P2V26-0024,modulator_concentration_m,missing_or_policy_blocker
P2V26-0024,precursor_concentration_m,missing_or_policy_blocker
P2V26-0024,drying_route,missing_or_policy_blocker
P2V26-0024,pore_radius_nm,missing_or_policy_blocker
P2V26-0024,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0024,contact_angle_deg,missing_or_policy_blocker
P2V26-0024,framework_stability_z,missing_or_policy_blocker
P2V26-0025,modulator_concentration_m,missing_or_policy_blocker
P2V26-0025,precursor_concentration_m,missing_or_policy_blocker
P2V26-0025,drying_route,missing_or_policy_blocker
P2V26-0025,pore_radius_nm,missing_or_policy_blocker
P2V26-0025,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0025,contact_angle_deg,missing_or_policy_blocker
P2V26-0025,framework_stability_z,missing_or_policy_blocker
P2V26-0026,modulator_concentration_m,missing_or_policy_blocker
P2V26-0026,precursor_concentration_m,missing_or_policy_blocker
P2V26-0026,pore_radius_nm,missing_or_policy_blocker
P2V26-0026,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0026,contact_angle_deg,missing_or_policy_blocker
P2V26-0026,framework_stability_z,missing_or_policy_blocker
P2V26-0027,modulator_concentration_m,missing_or_policy_blocker
P2V26-0027,precursor_concentration_m,missing_or_policy_blocker
P2V26-0027,pore_radius_nm,missing_or_policy_blocker
P2V26-0027,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0027,contact_angle_deg,missing_or_policy_blocker
P2V26-0027,framework_stability_z,missing_or_policy_blocker
P2V26-0028,modulator_concentration_m,missing_or_policy_blocker
P2V26-0028,precursor_concentration_m,missing_or_policy_blocker
P2V26-0028,pore_radius_nm,missing_or_policy_blocker
P2V26-0028,surface_tension_mN_m,missing_or_policy_blocker
P2V26-0028,contact_angle_deg,missing_or_policy_blocker
P2V26-0028,framework_stability_z,missing_or_policy_blocker
