candidate_id,mfp_score_demo,priority_class,recommended_modulator_screen,recommended_temperature_window,recommended_drying_route,capillary_risk_flag,validation_first_step,status
NU-1000,0.974,high,"formic acid or acetic acid screen, 1.5-3.0 M",80-120 C screening window,retain supercritical CO2 drying as low-collapse-risk reference route,low,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
UiO-67,0.970,high,"formic acid or acetic acid screen, 1.5-3.0 M",80-120 C screening window,retain solvent exchange and slow drying; test drying-rate sensitivity,low,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
MOF-808,0.967,high,"formic acid or acetic acid screen, 1.5-3.0 M",80-120 C screening window,retain supercritical CO2 drying as low-collapse-risk reference route,low,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
MOF-801,0.956,high,"formic acid or acetic acid screen, 1.5-3.0 M",70-110 C screening window,retain solvent exchange and slow drying; test drying-rate sensitivity,low,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
PCN-222,0.950,high,"formic acid or acetic acid screen, 1.5-3.0 M",90-130 C screening window,retain solvent exchange and slow drying; test drying-rate sensitivity,low,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
HKUST-1,0.887,high,low-acid or no-acid ethanol/water gel-aging screen,40-80 C screening window,replace fast/oven drying with ethanol exchange and slow drying,low,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
MIL-100(Fe),0.879,high,"acid-modulated aqueous screen, avoid over-fast crystallization",130-170 C screening window,retain solvent exchange and slow drying; test drying-rate sensitivity,low,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
ZIF-8,0.872,high,composite/scaffold route recommended before pristine monolith claim,25-45 C screening window,replace fast/oven drying with ethanol exchange and slow drying,low,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
Mg-MOF-74,0.830,high,modulator screen required,90-130 C screening window,retain solvent exchange and slow drying; test drying-rate sensitivity,medium,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
MIL-101(Cr),0.732,high,"acid-modulated aqueous screen, avoid over-fast crystallization",160-200 C screening window,retain solvent exchange and slow drying; test drying-rate sensitivity,low,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
MOF-5,0.597,medium,composite/scaffold route recommended before pristine monolith claim,80-120 C screening window,replace fast/oven drying with ethanol exchange and slow drying,low,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
CAU-10,0.500,medium,modulator screen required,130-170 C screening window,solvent exchange followed by supercritical CO2 or very slow low-surface-tension drying,high,small-vial gelation screen + solvent-exchange/drying control,hypothesis-generating; not experimentally validated
